,month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State,Cluster,Cust_State
391,1,H7H,Non-A,0.0,16,1,CA,H,0.0,H
392,1,H7K,A,61.4561,13,2,CA,H,0.0,H
393,1,H7K,Non-A,9.9759,4,2,CA,H,0.0,H
394,1,H7L,A,92.2236,10,1,CA,H,0.0,H
395,1,H7P,A,16.1449,1,1,CA,H,0.0,H
396,1,H7R,A,98.3383,17,3,CA,H,0.0,H
397,1,H7R,Non-A,8.0763,1,1,CA,H,0.0,H
398,1,H7T,A,10.7684,1,1,CA,H,0.0,H
399,1,H7V,A,88.1068,17,2,CA,H,0.0,H
400,1,H7W,A,90.5977,4,2,CA,H,0.0,H
401,1,H7W,Non-A,0.0,4,2,CA,H,0.0,H
402,1,H7X,A,61.9644,44,1,CA,H,0.0,H
403,1,H7Y,A,0.0,3,1,CA,H,0.0,H
404,1,H7Y,Non-A,33.4046,4,1,CA,H,0.0,H
405,1,H8N,A,69.11,15,1,CA,H,0.0,H
406,1,H8P,A,17.9755,4,2,CA,H,0.0,H
407,1,H8P,Non-A,0.0,2,1,CA,H,0.0,H
408,1,H8P,Seasonal,39.9198,8,1,CA,H,0.0,H
409,1,H8S,A,76.367,10,3,CA,H,0.0,H
410,1,H8S,Non-A,0.0,9,1,CA,H,0.0,H
411,1,H8T,Seasonal,5.992999999999999,4,1,CA,H,0.0,H
412,1,H9B,A,135.3433,18,3,CA,H,0.0,H
413,1,H9B,Non-A,25.5286,9,1,CA,H,0.0,H
414,1,H9C,A,57.4571,30,1,CA,H,0.0,H
415,1,H9H,A,26.044,14,2,CA,H,0.0,H
416,1,H9J,A,93.0389,4,1,CA,H,0.0,H
417,1,H9W,A,43.0428,4,1,CA,H,0.0,H
418,1,H9X,A,26.8671,7,1,CA,H,0.0,H
419,1,HI,A,6944.55,1253,148,US,HI,5.0,HI
420,1,HI,Non-A,1145.47,389,55,US,HI,5.0,HI
421,1,HI,Seasonal,3153.48,596,83,US,HI,5.0,HI
422,1,IA,A,45061.61,8371,1166,US,IA,3.0,IA
423,1,IA,Non-A,11155.48,2069,478,US,IA,3.0,IA
424,1,IA,Seasonal,14366.56,2914,520,US,IA,3.0,IA
425,1,ID,A,24409.82,4706,575,US,ID,4.0,ID
426,1,ID,Non-A,7365.69,1311,258,US,ID,4.0,ID
427,1,ID,Seasonal,10383.77,2175,286,US,ID,4.0,ID
428,1,IL,A,186800.82,33911,4531,US,IL,3.0,IL
429,1,IL,Non-A,49535.9,9894,2076,US,IL,3.0,IL
